"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R00195","2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)","2 C00014 +  C00022 <=>  C00001 +  C06393","2 Ammonia +  Pyruvate <=>  H2O +  2,3-Diaminopropanoate",,VERDADEIRO,"36,3"
"R00199","ATP:pyruvate,water phosphotransferase"," C00009 +  C00020 +  C00074 <=>  C00001 +  C00002 +  C00022"," Orthophosphate +  AMP +  Phosphoenolpyruvate <=>  H2O +  ATP +  Pyruvate",,VERDADEIRO,"1,4"
"R00200","ATP:pyruvate 2-O-phosphotransferase"," C00008 +  C00074 <=>  C00002 +  C00022"," ADP +  Phosphoenolpyruvate <=>  ATP +  Pyruvate",,VERDADEIRO,"31,3"
"R00203","pyruvaldehyde:NAD+ oxidoreductase;"," C00004 +  C00022 +  C00080 <=>  C00001 +  C00003 +  C00546"," NADH +  Pyruvate +  H+ <=>  H2O +  NAD+ +  Methylglyoxal",,VERDADEIRO,"-45,2"
"R00205","2-Oxopropanal:NADP+ oxidoreductase"," C00005 +  C00022 +  C00080 <=>  C00001 +  C00006 +  C00546"," NADPH +  Pyruvate +  H+ <=>  H2O +  NADP+ +  Methylglyoxal",,VERDADEIRO,"-46,8"
"R00206","ATP:pyruvate,phosphate phosphotransferase"," C00013 +  C00020 +  C00074 <=>  C00002 +  C00009 +  C00022"," Diphosphate +  AMP +  Phosphoenolpyruvate <=>  ATP +  Orthophosphate +  Pyruvate",,VERDADEIRO,"22,2"
"R00207","Pyruvate:oxygen 2-oxidoreductase (phosphorylating)"," C00007 +  C00009 +  C00022 =>  C00011 +  C00027 +  C00227"," Oxygen +  Orthophosphate +  Pyruvate =>  CO2 +  Hydrogen peroxide +  Acetyl phosphate",,FALSO,"-144,1"
"R00208","Phosphoenolpyruvate phosphohydrolase"," C00009 +  C00022 <=>  C00001 +  C00074"," Orthophosphate +  Pyruvate <=>  H2O +  Phosphoenolpyruvate",,VERDADEIRO,"-59,6"
"R00209","pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);"," C00004 +  C00011 +  C00024 +  C00080 <=>  C00003 +  C00010 +  C00022"," NADH +  CO2 +  Acetyl-CoA +  H+ <=>  NAD+ +  CoA +  Pyruvate",,VERDADEIRO,-27
"R00210","pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)"," C00005 +  C00011 +  C00024 +  C00080 <=>  C00006 +  C00010 +  C00022"," NADPH +  CO2 +  Acetyl-CoA +  H+ <=>  NADP+ +  CoA +  Pyruvate",,VERDADEIRO,"-28,6"
"R00211","pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)"," C00007 +  C00010 +  C00022 =>  C00011 +  C00024 +  C00027"," Oxygen +  CoA +  Pyruvate =>  CO2 +  Acetyl-CoA +  Hydrogen peroxide",,FALSO,"-156,8"
"R00212","Acetyl-CoA:formate C-acetyltransferase"," C00010 +  C00022 <=>  C00024 +  C00058"," CoA +  Pyruvate <=>  Acetyl-CoA +  Formate",,VERDADEIRO,"12,5"
"R00213","O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)"," C00011 + 2 C00014 +  C00022 <=>  C00001 +  C03015"," CO2 + 2 Ammonia +  Pyruvate <=>  H2O +  O-Carbamoyl-L-serine",,VERDADEIRO,-37
"R00214","(S)-malate:NAD+ oxidoreductase (decarboxylating)"," C00004 +  C00011 +  C00022 +  C00080 <=>  C00003 +  C00149"," NADH +  CO2 +  Pyruvate +  H+ <=>  NAD+ +  (S)-Malate",,VERDADEIRO,0
"R00215","(R)-Malate:NAD+ oxidoreductase (decarboxylating)"," C00004 +  C00011 +  C00022 +  C00080 <=>  C00003 +  C00497"," NADH +  CO2 +  Pyruvate +  H+ <=>  NAD+ +  (R)-Malate",,VERDADEIRO,0
"R00216","(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"," C00005 +  C00011 +  C00022 +  C00080 <=>  C00006 +  C00149"," NADPH +  CO2 +  Pyruvate +  H+ <=>  NADP+ +  (S)-Malate",,VERDADEIRO,"-1,7"
"R00217","oxaloacetate carboxy-lyase (pyruvate-forming)"," C00011 +  C00022 <=>  C00036"," CO2 +  Pyruvate <=>  Oxaloacetate",,VERDADEIRO,"-17,8"
"R00218","acetylenedicarboxylate carboxy-lyase (pyruvate-forming)"," C00011 +  C00022 <=>  C00001 +  C03248"," CO2 +  Pyruvate <=>  H2O +  Acetylenedicarboxylate",,VERDADEIRO,"NaN"
"R00219","2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)"," C03981 <=>  C00011 +  C00022"," 2-Hydroxyethylenedicarboxylate <=>  CO2 +  Pyruvate",,VERDADEIRO,"17,8"
"R00220","L-serine ammonia-lyase"," C00014 +  C00022 <=>  C00065"," Ammonia +  Pyruvate <=>  L-Serine",,VERDADEIRO,"-37,8"
"R00221","D-serine ammonia-lyase"," C00014 +  C00022 <=>  C00740"," Ammonia +  Pyruvate <=>  D-Serine",,VERDADEIRO,"-37,8"
"R00223","serine ammonia-lyase (pyruvate-forming)"," C00014 +  C00022 <=>  C00716"," Ammonia +  Pyruvate <=>  Serine",,VERDADEIRO,"-37,8"
"R00224","pyruvate carboxy-lyase (acetaldehyde-forming)"," C00011 +  C00084 <=>  C00022"," CO2 +  Acetaldehyde <=>  Pyruvate",,VERDADEIRO,"-8,9"
"R00226","pyruvate:pyruvate acetaldehydetransferase (decarboxylating);","2 C00022 <=>  C00011 +  C06010","2 Pyruvate <=>  CO2 +  (S)-2-Acetolactate",,VERDADEIRO,30
"R00227","Acetyl-CoA hydrolase"," C00010 +  C00033 <=>  C00001 +  C00024"," CoA +  Acetate <=>  H2O +  Acetyl-CoA",,VERDADEIRO,"-27,1"
"R00228","acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)"," C00004 +  C00024 +  C00080 <=>  C00003 +  C00010 +  C00084"," NADH +  Acetyl-CoA +  H+ <=>  NAD+ +  CoA +  Acetaldehyde",,VERDADEIRO,"-18,1"
"R00229","Acetate:CoA ligase (ADP-forming)"," C00008 +  C00009 +  C00024 <=>  C00002 +  C00010 +  C00033"," ADP +  Orthophosphate +  Acetyl-CoA <=>  ATP +  CoA +  Acetate",,VERDADEIRO,"-1,2"
"R00230","acetyl-CoA:phosphate acetyltransferase"," C00010 +  C00227 <=>  C00009 +  C00024"," CoA +  Acetyl phosphate <=>  Orthophosphate +  Acetyl-CoA",,VERDADEIRO,"12,7"
"R00233","malonyl-CoA carboxy-lyase (acetyl-CoA-forming)"," C00011 +  C00024 <=>  C00083"," CO2 +  Acetyl-CoA <=>  Malonyl-CoA",,VERDADEIRO,"-14,1"
"R00235","Acetate:CoA ligase (AMP-forming)"," C00013 +  C00020 +  C00024 <=>  C00002 +  C00010 +  C00033"," Diphosphate +  AMP +  Acetyl-CoA <=>  ATP +  CoA +  Acetate",,VERDADEIRO,"-10,4"
"R00236","acetyl adenylate:CoA acetyltransferase"," C00020 +  C00024 <=>  C00010 +  C05993"," AMP +  Acetyl-CoA <=>  CoA +  Acetyl adenylate",,VERDADEIRO,"NaN"
"R00237","(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)"," C00022 +  C00024 <=>  C01011"," Pyruvate +  Acetyl-CoA <=>  (3S)-Citramalyl-CoA",,VERDADEIRO,"15,9"
"R00238","Acetyl-CoA:acetyl-CoA C-acetyltransferase"," C00010 +  C00332 <=> 2 C00024"," CoA +  Acetoacetyl-CoA <=> 2 Acetyl-CoA",,VERDADEIRO,"26,6"
"R00239","ATP:L-glutamate 5-phosphotransferase"," C00008 +  C03287 <=>  C00002 +  C00025"," ADP +  L-Glutamyl 5-phosphate <=>  ATP +  L-Glutamate",,VERDADEIRO,"10,5"
"R00241","ATP:L-glutamate 1-phosphotransferase"," C00008 +  C05765 <=>  C00002 +  C00025"," ADP +  L-Glutamyl 1-phosphate <=>  ATP +  L-Glutamate",,VERDADEIRO,"8,4"
"R00243","L-glutamate:NAD+ oxidoreductase (deaminating)"," C00004 +  C00014 +  C00026 +  C00080 <=>  C00001 +  C00003 +  C00025"," NADH +  Ammonia +  2-Oxoglutarate +  H+ <=>  H2O +  NAD+ +  L-Glutamate",,VERDADEIRO,"24,8"
"R00245","L-glutamate gamma-semialdehyde:NAD+ oxidoreductase"," C00004 +  C00025 +  C00080 <=>  C00001 +  C00003 +  C01165"," NADH +  L-Glutamate +  H+ <=>  H2O +  NAD+ +  L-Glutamate 5-semialdehyde",,VERDADEIRO,"-45,1"
"R00248","L-Glutamate:NADP+ oxidoreductase (deaminating)"," C00005 +  C00014 +  C00026 +  C00080 <=>  C00001 +  C00006 +  C00025"," NADPH +  Ammonia +  2-Oxoglutarate +  H+ <=>  H2O +  NADP+ +  L-Glutamate",,VERDADEIRO,"23,2"
"R00250","L-Glutamate:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00025 =>  C00014 +  C00026 +  C00027"," H2O +  Oxygen +  L-Glutamate =>  Ammonia +  2-Oxoglutarate +  Hydrogen peroxide",,FALSO,-105
"R00251","5-oxo-L-proline amidohydrolase (ATP-hydrolysing)"," C00008 +  C00009 +  C00025 <=> 2 C00001 +  C00002 +  C01879"," ADP +  Orthophosphate +  L-Glutamate <=> 2 H2O +  ATP +  Pidolic acid",,VERDADEIRO,"-20,8"
"R00253","L-Glutamate:ammonia ligase (ADP-forming)"," C00008 +  C00009 +  C00064 <=>  C00002 +  C00014 +  C00025"," ADP +  Orthophosphate +  L-Glutamine <=>  ATP +  Ammonia +  L-Glutamate",,VERDADEIRO,"-2,6"
"R00254","N-carbamyl-L-glutamate amidohydrolase"," C00001 +  C05829 <=>  C00011 +  C00014 +  C00025"," H2O +  N-Carbamyl-L-glutamate <=>  CO2 +  Ammonia +  L-Glutamate",,VERDADEIRO,"-6,1"
"R00256","L-glutamine amidohydrolase"," C00014 +  C00025 <=>  C00001 +  C00064"," Ammonia +  L-Glutamate <=>  H2O +  L-Glutamine",,VERDADEIRO,"-25,6"
"R00257","Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)"," C00003 +  C00013 +  C00020 +  C00025 <=>  C00001 +  C00002 +  C00064 +  C00857"," NAD+ +  Diphosphate +  AMP +  L-Glutamate <=>  H2O +  ATP +  L-Glutamine +  Deamino-NAD+",,VERDADEIRO,"2220,5"
"R00258","L-Alanine:2-oxoglutarate aminotransferase"," C00022 +  C00025 <=>  C00026 +  C00041"," Pyruvate +  L-Glutamate <=>  2-Oxoglutarate +  L-Alanine",,VERDADEIRO,"1,2"
"R00259","acetyl-CoA:L-glutamate N-acetyltransferase"," C00010 +  C00624 <=>  C00024 +  C00025"," CoA +  N-Acetyl-L-glutamate <=>  Acetyl-CoA +  L-Glutamate",,VERDADEIRO,"-24,2"
"R00260","glutamate racemase"," C00217 <=>  C00025"," D-Glutamate <=>  L-Glutamate",,VERDADEIRO,0
"R00261","L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)"," C00011 +  C00334 <=>  C00025"," CO2 +  4-Aminobutanoate <=>  L-Glutamate",,VERDADEIRO,"-18,7"
"R00262","L-threo-3-methylaspartate carboxy-aminomethylmutase"," C00025 <=>  C03618"," L-Glutamate <=>  L-threo-3-Methylaspartate",,VERDADEIRO,"0,4"
"R00264","2,5-dioxopentanoate:NADP+ 5-oxidoreductase"," C00005 +  C00026 +  C00080 <=>  C00001 +  C00006 +  C00433"," NADPH +  2-Oxoglutarate +  H+ <=>  H2O +  NADP+ +  2,5-Dioxopentanoate",,VERDADEIRO,"-48,1"
"R00265","2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)"," C00005 +  C00011 +  C00080 +  C00091 <=>  C00006 +  C00010 +  C00026"," NADPH +  CO2 +  H+ +  Succinyl-CoA <=>  NADP+ +  CoA +  2-Oxoglutarate",,VERDADEIRO,"-32,3"
"R00267","Isocitrate:NADP+ oxidoreductase (decarboxylating)"," C00005 +  C00011 +  C00026 +  C00080 <=>  C00006 +  C00311"," NADPH +  CO2 +  2-Oxoglutarate +  H+ <=>  NADP+ +  Isocitrate",,VERDADEIRO,"-0,1"
"R00268","oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)"," C00011 +  C00026 <=>  C05379"," CO2 +  2-Oxoglutarate <=>  Oxalosuccinate",,VERDADEIRO,"-16,2"
"R00269","2-oxoglutaramate amidohydrolase"," C00014 +  C00026 <=>  C00001 +  C00940"," Ammonia +  2-Oxoglutarate <=>  H2O +  2-Oxoglutaramate",,VERDADEIRO,"-26,9"
"R00270","None"," C00001 +  C05572 <=>  C00014 +  C00026"," H2O +  4-Oxoglutaramate <=>  Ammonia +  2-Oxoglutarate",,VERDADEIRO,"26,9"
"R00271","acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)"," C00010 +  C01251 <=>  C00001 +  C00024 +  C00026"," CoA +  (R)-2-Hydroxybutane-1,2,4-tricarboxylate <=>  H2O +  Acetyl-CoA +  2-Oxoglutarate",,VERDADEIRO,"-40,5"
"R00272","2-Oxoglutarate carboxy-lyase"," C00011 +  C00232 <=>  C00026"," CO2 +  Succinate semialdehyde <=>  2-Oxoglutarate",,VERDADEIRO,"-7,7"
"R00273","oxalate:oxygen oxidoreductase"," C00007 +  C00209 => 2 C00011 +  C00027"," Oxygen +  Oxalate => 2 CO2 +  Hydrogen peroxide",,FALSO,-148
"R00274","glutathione:hydrogen-peroxide oxidoreductase","2 C00001 +  C00127 <=>  C00027 + 2 C00051","2 H2O +  Glutathione disulfide <=>  Hydrogen peroxide + 2 Glutathione",,VERDADEIRO,"-309,8"
"R00275","superoxide:superoxide oxidoreductase"," C00007 +  C00027 => 2 C00080 + 2 C00704"," Oxygen +  Hydrogen peroxide => 2 H+ + 2 O2.-",,FALSO,"NaN"
"R00276","Carbon-monoxide:oxygen oxidoreductase"," C00001 +  C00007 +  C00237 =>  C00011 +  C00027"," H2O +  Oxygen +  CO =>  CO2 +  Hydrogen peroxide",,FALSO,"176,9"
"R00277","Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00647 =>  C00014 +  C00018 +  C00027"," H2O +  Oxygen +  Pyridoxamine phosphate =>  Ammonia +  Pyridoxal phosphate +  Hydrogen peroxide",,FALSO,"-95,1"
"R00278","Pyridoxine 5-phosphate:oxygen oxidoreductase"," C00007 +  C00627 =>  C00018 +  C00027"," Oxygen +  Pyridoxine phosphate =>  Pyridoxal phosphate +  Hydrogen peroxide",,FALSO,"-110,1"
"R00279","D-Glutamate:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00217 =>  C00014 +  C00026 +  C00027"," H2O +  Oxygen +  D-Glutamate =>  Ammonia +  2-Oxoglutarate +  Hydrogen peroxide",,FALSO,-105
"R00286","UDP-glucose:NAD+ 6-oxidoreductase","2 C00004 + 2 C00080 +  C00167 <=>  C00001 + 2 C00003 +  C00029","2 NADH + 2 H+ +  UDP-glucuronate <=>  H2O + 2 NAD+ +  UDP-glucose",,VERDADEIRO,"-27,2"
"R00287","UDP-glucose glucophosphohydrolase"," C00103 +  C00105 <=>  C00001 +  C00029"," D-Glucose 1-phosphate +  UMP <=>  H2O +  UDP-glucose",,VERDADEIRO,"-37,9"
"R00289","UTP:alpha-D-glucose-1-phosphate uridylyltransferase"," C00013 +  C00029 <=>  C00075 +  C00103"," Diphosphate +  UDP-glucose <=>  UTP +  D-Glucose 1-phosphate",,VERDADEIRO,"0,5"
"R00291","UDP-glucose 4-epimerase;"," C00052 <=>  C00029"," UDP-alpha-D-galactose <=>  UDP-glucose",,VERDADEIRO,0
"R00293","UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)"," C00001 +  C04089 <=>  C00029"," H2O +  UDP-4-dehydro-6-deoxy-D-glucose <=>  UDP-glucose",,VERDADEIRO,"-49,4"
"R00299","ATP:D-glucose 6-phosphotransferase"," C00008 +  C00092 <=>  C00002 +  C00031"," ADP +  D-Glucose 6-phosphate <=>  ATP +  D-Glucose",,VERDADEIRO,-15
"R00300","D-Glucose:NAD+ 1-oxidoreductase"," C00004 +  C00080 +  C00198 <=>  C00003 +  C00031"," NADH +  H+ +  D-Glucono-1,5-lactone <=>  NAD+ +  D-Glucose",,VERDADEIRO,"-11,1"
"R00301","D-Glucose:NADP+ 1-oxidoreductase"," C00005 +  C00080 +  C03107 <=>  C00006 +  C00031"," NADPH +  H+ +  D-Glucono-1,4-lactone <=>  NADP+ +  D-Glucose",,VERDADEIRO,"-10,7"
"R00302","D-glucose:oxygen 2-oxidoreductase"," C00007 +  C00031 =>  C00027 +  C02779"," Oxygen +  D-Glucose =>  Hydrogen peroxide +  2-Dehydro-D-glucose",,FALSO,"-115,4"
"R00303","D-Glucose-6-phosphate phosphohydrolase"," C00009 +  C00031 <=>  C00001 +  C00092"," Orthophosphate +  D-Glucose <=>  H2O +  D-Glucose 6-phosphate",,VERDADEIRO,"-13,3"
"R00304","D-Glucose-1-phosphate phosphohydrolase"," C00009 +  C00031 <=>  C00001 +  C00103"," Orthophosphate +  D-Glucose <=>  H2O +  D-Glucose 1-phosphate",,VERDADEIRO,"-21,1"
"R00306","cellobiose glucohydrolase","2 C00031 <=>  C00001 +  C00185","2 D-Glucose <=>  H2O +  Cellobiose",,VERDADEIRO,-14
"R00307","D-glucose aldose-ketose-isomerase"," C00095 <=>  C00031"," D-Fructose <=>  D-Glucose",,VERDADEIRO,"-0,2"
"R00310","protoheme ferro-lyase (protoporphyrin-forming)"," C00032 + 2 C00080 <=>  C02191 +  C14818"," Heme + 2 H+ <=>  Protoporphyrin +  Fe2+",,VERDADEIRO,"NaN"
"R00315","ATP:acetate phosphotransferase"," C00008 +  C00227 <=>  C00002 +  C00033"," ADP +  Acetyl phosphate <=>  ATP +  Acetate",,VERDADEIRO,"11,5"
"R00316","ATP:acetate adenylyltransferase"," C00013 +  C05993 <=>  C00002 +  C00033"," Diphosphate +  Acetyl adenylate <=>  ATP +  Acetate",,VERDADEIRO,"NaN"
"R00317","Acetyl phosphate phosphohydrolase"," C00009 +  C00033 <=>  C00001 +  C00227"," Orthophosphate +  Acetate <=>  H2O +  Acetyl phosphate",,VERDADEIRO,"-39,8"
"R00318","Phosphonoacetate phosphonohydrolase"," C00009 +  C00033 <=>  C00001 +  C05682"," Orthophosphate +  Acetate <=>  H2O +  Phosphonoacetate",,VERDADEIRO,"-76,7"
"R00319","(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)"," C00007 +  C00186 =>  C00001 +  C00011 +  C00033"," Oxygen +  (S)-Lactate =>  H2O +  CO2 +  Acetate",,FALSO,-486
"R00320","diphosphate:acetate phosphotransferase"," C00009 +  C00227 <=>  C00013 +  C00033"," Orthophosphate +  Acetyl phosphate <=>  Diphosphate +  Acetate",,VERDADEIRO,19
"R00321","Acetamide amidohydrolase"," C00014 +  C00033 <=>  C00001 +  C06244"," Ammonia +  Acetate <=>  H2O +  Acetamide",,VERDADEIRO,"-25,6"
"R00322","5'-acetylphosphoadenosine acetylhydrolase"," C00020 +  C00033 <=>  C00001 +  C05993"," AMP +  Acetate <=>  H2O +  Acetyl adenylate",,VERDADEIRO,"NaN"
"R00324","2,4-dioxopentanoate acetylhydrolase;"," C00022 +  C00033 <=>  C00001 +  C02132"," Pyruvate +  Acetate <=>  H2O +  Acetylpyruvate",,VERDADEIRO,"-53,6"
"R00325","(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming);"," C00022 +  C00033 <=>  C02614"," Pyruvate +  Acetate <=>  (S)-2-Methylmalate",,VERDADEIRO,"12,2"
"R00327","6-Acetyl-D-glucose acetylhydrolase"," C00031 +  C00033 <=>  C00001 +  C02655"," D-Glucose +  Acetate <=>  H2O +  6-Acetyl-D-glucose",,VERDADEIRO,"-8,3"
"R00328","GDP phosphohydrolase"," C00009 +  C00144 <=>  C00001 +  C00035"," Orthophosphate +  GMP <=>  H2O +  GDP",,VERDADEIRO,"-29,9"
"R00330","ATP:GDP phosphotransferase"," C00008 +  C00044 <=>  C00002 +  C00035"," ADP +  GTP <=>  ATP +  GDP",,VERDADEIRO,0
"R00332","ATP:GMP phosphotransferase"," C00008 +  C00035 <=>  C00002 +  C00144"," ADP +  GDP <=>  ATP +  GMP",,VERDADEIRO,"1,7"
"R00335","GTP phosphohydrolase"," C00009 +  C00035 <=>  C00001 +  C00044"," Orthophosphate +  GDP <=>  H2O +  GTP",,VERDADEIRO,"-28,3"
"R00336","guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase"," C00013 +  C00035 <=>  C00001 +  C01228"," Diphosphate +  GDP <=>  H2O +  Guanosine 3',5'-bis(diphosphate)",,VERDADEIRO,"-22,3"
"R00337","GDP-glucose glucohydrolase"," C00031 +  C00035 <=>  C00001 +  C00394"," D-Glucose +  GDP <=>  H2O +  GDP-glucose",,VERDADEIRO,"-29,1"
"R00338","Oxaloacetate acetylhydrolase"," C00033 +  C00209 <=>  C00001 +  C00036"," Acetate +  Oxalate <=>  H2O +  Oxaloacetate",,VERDADEIRO,"-53,7"
"R00339","(R,R)-tartrate hydro-lyase (oxaloacetate-forming)"," C00001 +  C00036 <=>  C00898"," H2O +  Oxaloacetate <=>  (R,R)-Tartaric acid",,VERDADEIRO,"-38,7"
"R00340","(S,S)-tartrate hydro-lyase (oxaloacetate-forming)"," C00001 +  C00036 <=>  C02107"," H2O +  Oxaloacetate <=>  (S,S)-Tartaric acid",,VERDADEIRO,"-38,7"
"R00341","ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)"," C00008 +  C00011 +  C00074 <=>  C00002 +  C00036"," ADP +  CO2 +  Phosphoenolpyruvate <=>  ATP +  Oxaloacetate",,VERDADEIRO,"13,5"
"R00342","(S)-malate:NAD+ oxidoreductase"," C00004 +  C00036 +  C00080 <=>  C00003 +  C00149"," NADH +  Oxaloacetate +  H+ <=>  NAD+ +  (S)-Malate",,VERDADEIRO,"17,8"
"R00343","(S)-malate:NADP+ oxidoreductase"," C00005 +  C00036 +  C00080 <=>  C00006 +  C00149"," NADPH +  Oxaloacetate +  H+ <=>  NADP+ +  (S)-Malate",,VERDADEIRO,"16,1"
"R00344","Pyruvate:carbon-dioxide ligase (ADP-forming)"," C00008 +  C00009 +  C00036 <=>  C00002 +  C00022 +  C00288"," ADP +  Orthophosphate +  Oxaloacetate <=>  ATP +  Pyruvate +  HCO3-",,VERDADEIRO,"-5,6"
"R00345","phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming);"," C00001 +  C00011 +  C00074 <=>  C00009 +  C00036"," H2O +  CO2 +  Phosphoenolpyruvate <=>  Orthophosphate +  Oxaloacetate",,VERDADEIRO,"41,8"
"R00346","diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming);"," C00009 +  C00011 +  C00074 <=>  C00013 +  C00036"," Orthophosphate +  CO2 +  Phosphoenolpyruvate <=>  Diphosphate +  Oxaloacetate",,VERDADEIRO,21
"R00347","erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)"," C00014 +  C00036 <=>  C03961"," Ammonia +  Oxaloacetate <=>  erythro-3-Hydroxy-Ls-aspartate",,VERDADEIRO,"-31,6"
"R00348","2-oxosuccinamate amidohydrolase"," C00014 +  C00036 <=>  C00001 +  C02362"," Ammonia +  Oxaloacetate <=>  H2O +  2-Oxosuccinamate",,VERDADEIRO,"-26,9"
"R00350","4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)"," C00022 +  C00036 <=>  C04115"," Pyruvate +  Oxaloacetate <=>  4-Carboxy-4-hydroxy-2-oxoadipate",,VERDADEIRO,"13,4"
"R00351","acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)"," C00001 +  C00024 +  C00036 <=>  C00010 +  C00158"," H2O +  Acetyl-CoA +  Oxaloacetate <=>  CoA +  Citrate",,VERDADEIRO,"40,5"
"R00352","acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]"," C00008 +  C00009 +  C00024 +  C00036 <=>  C00002 +  C00010 +  C00158"," ADP +  Orthophosphate +  Acetyl-CoA +  Oxaloacetate <=>  ATP +  CoA +  Citrate",,VERDADEIRO,"12,3"
"R00353","malonyl-CoA:pyruvate carboxytransferase"," C00024 +  C00036 <=>  C00022 +  C00083"," Acetyl-CoA +  Oxaloacetate <=>  Pyruvate +  Malonyl-CoA",,VERDADEIRO,"3,7"
"R00354","(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)"," C00024 +  C00036 <=>  C00566"," Acetyl-CoA +  Oxaloacetate <=>  (3S)-Citryl-CoA",,VERDADEIRO,"20,8"
"R00355","L-Aspartate:2-oxoglutarate aminotransferase"," C00025 +  C00036 <=>  C00026 +  C00049"," L-Glutamate +  Oxaloacetate <=>  2-Oxoglutarate +  L-Aspartate",,VERDADEIRO,0
"R00357","L-Aspartic acid:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00049 =>  C00014 +  C00027 +  C00036"," H2O +  Oxygen +  L-Aspartate =>  Ammonia +  Hydrogen peroxide +  Oxaloacetate",,FALSO,-105
"R00359","D-Aspartate:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00402 =>  C00014 +  C00027 +  C00036"," H2O +  Oxygen +  D-Aspartate =>  Ammonia +  Hydrogen peroxide +  Oxaloacetate",,FALSO,-105
"R00360","(S)-Malate:oxygen oxidoreductase"," C00007 +  C00149 =>  C00027 +  C00036"," Oxygen +  (S)-Malate =>  Hydrogen peroxide +  Oxaloacetate",,FALSO,"-112,1"
"R00362","citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate);"," C00033 +  C00036 <=>  C00158"," Acetate +  Oxaloacetate <=>  Citrate",,VERDADEIRO,"13,4"
"R00363","Oxaloacetate keto-enol-isomerase"," C03981 <=>  C00036"," 2-Hydroxyethylenedicarboxylate <=>  Oxaloacetate",,VERDADEIRO,0
"R00365","glycine:NAD+ oxidoreductase (deaminating)"," C00004 +  C00014 +  C00048 +  C00080 <=>  C00001 +  C00003 +  C00037"," NADH +  Ammonia +  Glyoxylate +  H+ <=>  H2O +  NAD+ +  Glycine",,VERDADEIRO,"35,9"
"R00366","glycine:oxygen oxidoreductase (deaminating);"," C00001 +  C00007 +  C00037 =>  C00014 +  C00027 +  C00048"," H2O +  Oxygen +  Glycine =>  Ammonia +  Hydrogen peroxide +  Glyoxylate",,FALSO,-94
"R00367","S-Adenosyl-L-methionine:glycine N-methyltransferase"," C00021 +  C00213 <=>  C00019 +  C00037"," S-Adenosyl-L-homocysteine +  Sarcosine <=>  S-Adenosyl-L-methionine +  Glycine",,VERDADEIRO,"NaN"
"R00368","N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)"," C00004 +  C00022 +  C00037 +  C00080 <=>  C00001 +  C00003 +  C03790"," NADH +  Pyruvate +  Glycine +  H+ <=>  H2O +  NAD+ +  N-(Carboxymethyl)-D-alanine",,VERDADEIRO,"30,2"
"R00369","L-Alanine:glyoxylate aminotransferase"," C00022 +  C00037 <=>  C00041 +  C00048"," Pyruvate +  Glycine <=>  L-Alanine +  Glyoxylate",,VERDADEIRO,"-9,8"
"R00371","Acetyl-CoA:glycine C-acetyltransferase"," C00010 +  C03508 <=>  C00024 +  C00037"," CoA +  L-2-Amino-3-oxobutanoic acid <=>  Acetyl-CoA +  Glycine",,VERDADEIRO,"24,7"
